indice_tiempo,produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_gas_natural_total_diario,pozos_terminados
2009-01,759716.175,432269.1673,2329851.381,540776.106,5300.506,4067913.335,131.2230108,141
2009-02,717881.167,403678.743,2092506.823,500519.639,4745.1409,3719331.513,132.8332683,103
2009-03,794353.797,456115.5296,2399017.567,541471.622,5238.8322,4196197.348,135.3612048,135
2009-04,833362.567,443751.701,2301834.75,480836.217,5012.1491,4064797.384,135.4932461,96
2009-05,824889.091,461793.6725,2364997.943,539842.668,5084.0475,4196607.422,135.374433,111
2009-06,870544.535,431013.6104,2336589.603,525167.122,4435.2362,4167750.107,138.9250036,97
2009-07,901959.778,463193.1395,2377098.702,537320.153,4712.2605,4284284.033,138.2027107,98
2009-08,785769.846,366944.8464,2317173.678,542250.901,4976.2594,4017115.531,129.584372,74
2009-09,870329.867,433827.0383,2173249.049,512385.537,4635.5454,3994427.037,133.1475679,102
2009-10,882167.5993,452160.2277,2241357.294,535961.148,5176.0688,4116822.337,132.8007206,92
2009-11,839937.458,421268.2138,1955161.941,508462.161,5091.7972,3729921.571,124.330719,117
2009-12,836672.78,425341.7057,2081573.646,515385.497,5108.1919,3864081.821,124.6478007,105
2010-01,812268.809,441685.5867,2126795.699,498170.931,5130.621,3884051.647,125.2919886,103
2010-02,789114.593,402230.3704,1984318.181,441639.615,4642.9778,3621945.737,129.3552049,116
2010-03,869894.609,444157.092,2161600.567,462523.996,4988.1583,3943164.422,127.1988523,137
2010-04,814861.942,413534.9586,2117300.089,464200.739,4764.2197,3814661.948,127.1553983,129
2010-05,896859.255,458270.9253,2272072.269,475080.983,4902.1076,4107185.54,132.4898561,121
2010-06,900910.405,446888.0882,2189723.156,460730.288,4523.8469,4002775.784,133.4258595,147
2010-07,988388.368,460647.6815,2241123.243,465685.718,4509.8366,4160354.847,134.2049951,126
2010-08,969696.222,452110.5885,2273397.373,451986.952,5123.9321,4152315.067,133.9456473,126
2010-09,882851.279,440379.9066,2184106.968,426391.16,5068.4204,3938797.734,131.2932578,112
2010-10,866687.118,459507.1912,2196857.619,434775.755,5359.8996,3963187.583,127.8447607,114
2010-11,801749.552,438692.9864,2063263.617,403292.208,5021.4387,3712019.802,123.7339934,110
2010-12,842429.191,372730.049,2168208.363,418618.423,5137.6075,3807123.634,122.8104398,66
2011-01,817460.299,434485.8199,2149442.775,410366.75,5200.3678,3816956.012,123.1276133,118
2011-02,759456.777,394394.5243,1935240.782,363095.212,4812.4581,3456999.753,123.4642769,110
