indice_tiempo,produccion_petroleo_cuenca_austral,produccion_petroleo_cuenca_gsj,produccion_petroleo_cuenca_neuquina,produccion_petroleo_cuenca_noroeste,produccion_petroleo_cuenca_cuyana,produccion_petroleo_total,produccion_petroleo_total_diario,kbbl_diario
2009-01,151053.619,1344435.247,1304392.58,65889.84,169891.287,3035662.573,97924.59913,615.9272208
2009-02,139450.204,1267892.668,1182005.457,59033.83,152851.687,2801233.846,100044.0659,629.2582664
2009-03,148742.005,1415983.954,1281735.777,64069.82,168683.576,3079215.132,99329.52038,624.7639099
2009-04,149417.995,1347629.428,1250437.801,57866.09,161060.264,2966411.578,98880.38593,621.9389391
2009-05,140437.786,1420883.957,1255829.564,63358.51,162202.156,3042711.973,98151.99913,617.3575238
2009-06,145222.047,1269513.07,1240857.839,59956.22,155564.676,2871113.852,95703.79507,601.958783
2009-07,152171.376,1390102.155,1205358.627,61839.6,159468.788,2968940.546,95772.27568,602.3895131
2009-08,112250.777,1022384.67,1252354.104,63826.6,158787.516,2609603.667,84180.76345,529.4810919
2009-09,157221.723,1337487.67,1175907.531,60502.43,149840.225,2880959.579,96031.98597,604.0230417
2009-10,161252.246,1394025.738,1247364.864,62417.49,160131.107,3025191.445,97586.8208,613.8026589
2009-11,152091.9099,1271367.647,1191249.444,59044.19,155458.593,2829211.784,94307.05947,593.17358
2009-12,152273.744,1319865.906,1230285.602,58498.81,160854.996,2921779.058,94250.93735,592.8205825
2010-01,144247.7546,1386651.786,1216441.052,58876.39,161532.057,2967749.04,95733.83999,602.1477598
2010-02,133620.4182,1237354.074,1108415.178,53066.999,145563.433,2678020.102,95643.57508,601.5800106
2010-03,140107.9992,1392140.9,1224479.174,56383.99,160251.303,2973363.366,95914.9473,603.2868906
2010-04,136663.5437,1344907.804,1183829.11,55676.06,152719.97,2873796.488,95793.21625,602.5212253
2010-05,140846.0583,1374754.122,1226667.165,56323.18,159940.064,2958530.589,95436.47062,600.2773627
2010-06,137394.8031,1331213.294,1198092.419,54436.17,156449.565,2877586.251,95919.5417,603.3157885
2010-07,145721.9281,1371445.052,1224114.284,54917.99,162083.489,2958282.743,95428.47558,600.2270754
2010-08,129868.3126,1388771.774,1228947.68,54111.01,160821.709,2962520.486,95565.17695,601.0869012
2010-09,127179.2793,1310854.948,1177199.052,53312.9,153134.154,2821680.333,94056.01111,591.5945333
2010-10,119589.5662,1343684.82,1204692.81,55758.8,159572.692,2883298.688,93009.6351,585.013026
2010-11,108968.1726,1321882.809,1156622.98,51371.433,153946.681,2792792.076,93093.06919,585.5378106
2010-12,116298.6169,953330.131,1172796.768,52303.58,156888.621,2451617.717,79084.44248,497.4261962
2011-01,123839.2772,1337224.506,1178601.057,49889.48,159082.494,2848636.814,91891.51014,577.9802313
2011-02,109077.1742,1233565.324,1055708.677,44472.41,145631.959,2588455.544,92444.84086,581.460577
2011-03,114280.9469,1359975.474,1166031.016,48036.18,159959.201,2848282.818,91880.0909,577.9084064
2011-04,121398.0856,859957.072,1122087.875,43996.04,152875.058,2300314.131,76677.13769,482.2847041
2011-05,128210.3278,1004987.957,1149008.948,48571.93,159648.249,2490427.412,80336.36812,505.3005719
2011-06,124717.3007,1010806.793,1109632.559,46063.812,154637.298,2445857.763,81528.59209,512.7994353
2011-07,122509.8209,1179321.639,1147477.119,46817.09,161326.383,2657452.052,85724.25975,539.189392
